Naïve,TCR signaling,Adhesion
IL7R,CALM1,ITGA6
CCR7,CALM2,ITGA4
SELL,CALM3,ITGAE
FOXP1,CD4,ITGAL
KLF2,CAST,ITGAM
KLF3,CD247,ITGB1
LEF1,CD3D,ITGB2
TCF7,CD3E,ITGB7
ACTN1,CD3G,SELL
BTG1,CSK,SELPLG
BTG2,DOK2,S1PR1
TOB1,FYN,ICAM2
,LCK,
,NFATC1,
,NFATC2,
,PLEK,
,PTPN11,
,PTPN13,
,PTPN2,
,PTPN22,
,PTPN4,
,PTPN6,
,PTPN7,
,PTPRC,
,PTPRCAP,
,S100A10,
,S100A11,
,S100A4,
,S100A6,
,ZAP70,
,DUSP1,
,DUSP2,
,DUSP4,
,DUSP16,
,LAT,
,FOS,
,FOSB,
,FOSL2,
,JUN,
,JUNB,
,JUND,
,NR4A1,
,NR4A2,
,BATF,
,IRF1,
,SH2D1A,
,SH2D2A,
,MAP2K3,
,MAP3K4,
,MAP3K8,
,MAP4K1,
,NFKB2,
,NFKBIA,
,NFKBIZ,
,REL,
,RELB,
