Naïve,Activation:Effector function,Exhaustion,TCR Signaling,Cytotoxicity,Cytokine/Cytokine receptor,Chemokine/Chemokine receptor,Senescence,Anergy,NFKB Signaling,Stress response,MAPK Signaling,Adhesion,IFN Response,Oxidative phosphorylation,Glycolysis,Fatty acid metabolism,Pro-apoptosis,Anti-apoptosis,G1/S,G2/M
IL7R,FAS,PDCD1,CALM1,GZMA,CSF1,CCR4,KLRK1,NT5E,NFKB1,HIKESHI,MAP2K1,ITGA1,IFIT1,ATP1B3,SLC2A3,ACAA1,BCL2L11,BCL11B,BRCA1,AURKA
CCR7,FASLG,LAYN,CALM2,GZMB,IL10RA,CCR5,IFNA1,IZUMO1R,NFKB2,P4HB,MAP2K2,ITGA4,IFIT2,ATP2A3,SLC2A8,ACADM,BID,BCL2L1,BRCA2,BIRC5
SELL,CD44,HAVCR2,CALM3,GZMH,IL16,CCR7,IFNAR1,LAG3,NFKBIA,UBA52,MAP2K3,ITGAE,IFIT3,ATP2B1,PFKFB3,ACADVL,BIN1,BAG3,CCNE1,BUB1
FOXO1,CD69,LAG3,CAST,GZMK,IL17RA,CXCR3,TAB1,NRP1,NFKBIB,MAPK1,MAP3K4,ITGAL,IFIT5,ATP2B4,ALDOA,ACSL5,BIN2,BAG4,CCNE2,BUB1B
KLF2,CD38,CD244,CD247,GZMH,IL18RAP,CXCR4,SESN2,DGKA,NFKBIZ,RPA2,MAP3K5,ITGAM,STAT1,ATP5A1,ENO1,ALDH16A1,BAX,BIRC3,CCNG2,CCNA2
KLF3,NKG7,CTLA4,CD3D,GNLY,IL21R,CXCR5,,CBLB,CHUK,RPA3,MAP3K8,ITGB1,STAT2,ATP5B,GAPDH,ALDH9A1,BAK1,GADD45B,CDC25A,CCNB1
LEF1,KLRB1,LILRB1,CD3E,PRF1,IL2RB,CXCR6,,RNF128,IKBKB,TNRC6A,MAP4K1,ITGB2,MX1,ATP5C1,GPI,ECH1,CASP8,,CDC45,CCNB2
TCF7,KLRD1,TIGIT,CD3G,IFNG,IL2RG,CCL3,,ITCH,IKBKG,TNRC6B,MAP4K5,ITGB7,IRF1,ATP5D,PGAM1,ECHS1,CASP3,,CDC6,CCNF
ACTN1,KLRF1,TOX,CSK,TNF,IL32,CCL4,,NFATC2,REL,TNRC6C,MAPK1,SELL,IRF4,ATP5E,PGK1,HADHA,,,CDKN1A,CDC20
FOXP1,KLRG1,VSIR,DOK1,SERPINB1,IL9R,CCL4L1,,EGR2,RELA,NUP210,MAPK3,SELPLG,IRF7,ATP5EP2,PKM,HSD17B10,,,CDKN2C,CDC25B
