Type I interferon,Chemokine activity,Pro-inflammation,MDSC,Regulatory TAMs,Inflammation TAMs,Classical TIMs,Tissue resident-like TAMs,Phagocytosis,Angiogenesis
STAT2,C5,IL1A,WFDC17,CCL2,CCL2,S100A4,C1QA,MRC1 ,VEGFA
IFNAR1,CCL1,IL1B,IFITM1,CD274,CCL3,S100A6,C1QB,CD163 ,VEGFB
CDC37,CCL11,TNF,IL1B,CD40,CCL4,S100A8,C1QC,MERTK ,VEGFC
H7C3V1,CCL13,IFNG,CSTA,CD80,CCL5,S100A9,CCL7,C1QB ,PDGFC
PTPN6,CCL14,TBX21,SRGN,CD86,CCL20,S100A12,CD163,,CXCL8
IFNA8,CCL15,CCL3,CTSL,CHIT1,CCL3L1,S100A13,CD5L,,CXCR2
IFIT5,CCL16,CCL4,PROK2,CXCR1,CCL3L3,AREG,CD74,,FLT1
TBK1,CCL17,PRF1,IFITM2,HLA-A,CCL4L2,CCL4,CETP,,PGF
GBP2,CCL18,GZMA,JUNB,HLA-C,CCL4L4,CCR2,FOLR2,,CXCL5
PTPN2,CCL19,GZMB,DUSP1,HLA-DQA1,CXCL1,CD14,HLA-DPA1,,KDR
MX2,CCL2,GZMK,SOCS3,HLA-DQB1,CXCL2,CD300E,HLA-DPB1,,ANGPT1
MX1,CCL20,GZMH,BTG1,HLA-DRA,CXCL3,CD36,HLA-DRB1,,ANGPT2
SAMHD1,CCL21,CD8A,C19orf12,HLA-DRB1,CXCL5,CEBPD,MARCO,,TEK
ISG20,CCL22,FASLG,SELPLG,HLA-DRB5,CXCL8,CLEC11A,MAF,,VWF
HLA-F,CCL23,CCL2,ASPRV1,ICOSLG,GOS2,CLEC12A,MS4A7,,CDH5
IP6K2,CCL24,CCL20,IGFBP6,IL10,IL1B,CSF1R,SLC40A1,,
YTHDF2,CCL25,IL2,SIRPA,ITGA4,IL1RN,CTSS,VCAM1,,
ZBP1,CCL26,IL6,PLA2G7,LGALS9,IL6,CX3CR1,VSIG4,,
LSM14A,CCL27,IL12A,CSF3R,MARCO,INHBA,CXCL2,,,
CNOT7,CCL28,IL17A,CXCR2,MRC1,KLF2,CXCR4,,,
IRF3,CCL3,IL23A,TPD52,TGFB2,KLF6,EGR1,,,
TYK2,CCL3L1,PTGS2,TSPO,,NEDD9,FCN1,,,
IKBKE,CCL4,TLR4,CYP4F18,,PMAIP1,FOS,,,
HLA-G,CCL4L1,,GRINA,,S100A8,FTH1,,,
STAT1,CCL5,,FABP5,,S100A9,IL1B,,,
IRF1,CCL7,,CLEC4D,,SPP1,ITGAM,,,
HLA-C,CCL8,,STEAP4,,,JUNB,,,
PTPN11,CKLF,,MAP1LC3B,,,LGALS2,,,
ISG15,CX3CL1,,CCR1,,,LYZ,,,
USP18,CXCL1,,LRG1,,,MAF,,,
TREX1,CXCL10,,CLEC4E,,,MAFB,,,
IRF8,CXCL11,,CTSD,,,MPEG1,,,
IRF6,CXCL12,,CD84,,,NFKB1,,,
IFIT3,CXCL13,,GCNT2,,,NFKBIA,,,
IRF9,CXCL14,,ARG2,,,NLRP3,,,
IFNA16,CXCL16,,NPL,,,NR4A1,,,
IFNA4,CXCL2,,FGL2,,,NR4A2,,,
IFNA6,CXCL3,,RNF149,,,OSM,,,
TTLL12,CXCL5,,SEPHS2,,,PTGS2,,,
HLA-E,CXCL6,,S100A6,,,RGS2,,,
HLA-H,CXCL8,,LMNB1,,,SELL,,,
HLA-B,CXCL9,,JAML,,,THBS1,,,
IFI27,GPR15L,,EIF4EBP1,,,VCAN,,,
IRF2,PF4,,MSRB1,,,,,,
PTPN1,PF4V1,,UBB,,,,,,
C9JQL5,PPBP,,C5AR1,,,,,,
JAK1,XCL1,,YPEL3,,,,,,
IRF5,XCL2,,FCGR3A,,,,,,
ADAR,,,GSR,,,,,,
BST2,,,TALDO1,,,,,,
RNASEL,,,ATP6V1G1,,,,,,
EGR1,,,S100A11,,,,,,
IFNA14,,,HP,,,,,,
IFNA7,,,ALOX5AP,,,,,,
IFNA1,,,LITAF,,,,,,
IFI35,,,TXN1,,,,,,
HSP90AB1,,,UPP1,,,,,,
MAVS,,,C19orf38,,,,,,
MYD88,,,GPCPD1,,,,,,
IRF4,,,SNAP23,,,,,,
CACTIN,,,IL4R,,,,,,
IRF7,,,H2BC4,,,,,,
RSAD2,,,RETNLB,,,,,,
MMP12,,,MYD88,,,,,,
OASL,,,ADIPOR1,,,,,,
IFNAR2,,,STK17B,,,,,,
PSMB8,,,ZYX,,,,,,
SP100,,,RGS3,,,,,,
