Type I interferon,Chemokine activity,Pro-inflammation,Glycolysis,Angiogenesis,MDSC,Tissue resident-like TAMs,Regulatory TAMs,Inflammation TAMs,Classical TIMs,M1 signature,M2 signature,Tumor associated neutrophils,Neutrophil chemotaxis,Neutrophil activation
STAT2,C5,IL1A,ALDOA,VEGFA,WFDC17,C1QA,CCL2,CCL2,S100A4,IL23 ,IL4R ,AGO4,BSG,CDK13
IFNAR1,CCL1,IL1B,ALDOB,VEGFB,IFITM1,C1QB,CD274,CCL3,S100A6,TNF ,CCL4 ,ARG1,C1QBP,SLC27A2
CDC37,CCL11,TNF,ALDOC,VEGFC,IL1B,C1QC,CD40,CCL4,S100A8,CXCL9 ,CCL13 ,CYP4F3,C3AR1,AGL
H7C3V1,CCL13,IFNG,BPGM,PDGFC,CSTA,CCL7,CD80,CCL5,S100A9,CXCL10 ,CCL20 ,ERGIC1,C5AR1,RAB18
PTPN6,CCL14,TBX21,ENO1,CXCL8,SRGN,CD163,CD86,CCL20,S100A12,CXCL11 ,CCL17 ,FLOT2,C5AR2,CLEC12A
IFNA8,CCL15,CCL3,ENO2,CXCR2,CTSL,CD5L,CHIT1,CCL3L1,S100A13,CD86 ,CCL18 ,FRAT2,CAMK1D,PYCARD
IFIT5,CCL16,CCL4,GALM,FLT1,PROK2,CD74,CXCR1,CCL3L3,AREG,IL1A ,CCL22 ,LRP10,CCL1,TLR2
TBK1,CCL17,PRF1,GCK,PGF,IFITM2,CETP,HLA-A,CCL4L2,CCL4,IL1B ,CCL24 ,MGAM,CCL11,HUWE1
GBP2,CCL18,GZMA,GPI,CXCL5,JUNB,FOLR2,HLA-C,CCL4L4,CCR2,IL6 ,LYVE1 ,MMP25,CCL13,S100A12
PTPN2,CCL19,GZMB,HK2,KDR,DUSP1,HLA-DPA1,HLA-DQA1,CXCL1,CD14,CCL5 ,VEGFA ,MSRB1,CCL14,CD177
MX2,CCL2,GZMK,HK3,ANGPT1,SOCS3,HLA-DPB1,HLA-DQB1,CXCL2,CD300E,IRF5 ,VEGFB ,NDEL1,CCL15,PSMD11
MX1,CCL20,GZMH,PFKL,ANGPT2,BTG1,HLA-DRB1,HLA-DRA,CXCL3,CD36,IRF1 ,VEGFC ,NFE2,CCL16,STING1
SAMHD1,CCL21,CD8A,PGAM2,TEK,C19orf12,MARCO,HLA-DRB1,CXCL5,CEBPD,CD40 ,VEGFD ,PADI4,CCL17,KCMF1
ISG20,CCL22,FASLG,PGK1,VWF,SELPLG,MAF,HLA-DRB5,CXCL8,CLEC11A,IDO1 ,EGF ,PBX2,CCL18,CCL5
HLA-F,CCL23,CCL2,PGK2,CDH5,ASPRV1,MS4A7,ICOSLG,GOS2,CLEC12A,KYNU ,CTSA ,PHOSPHO1,CCL19,CALML5
IP6K2,CCL24,CCL20,PGM1,,IGFBP6,SLC40A1,IL10,IL1B,CSF1R,CCR7 ,CTSB ,RASGRP4,CCL2,ROCK1
YTHDF2,CCL25,IL2,PGM2,,SIRPA,VCAM1,ITGA4,IL1RN,CTSS,,CTSC ,REPS2,CCL20,PDAP1
