LAR,MES,BLIS,BLIA
DHRS2,ADH1B,GABRP,CXCL9
PIP,ADIPOQ,ELF5,IDO1
AGR2,OGN,HORMAD1,CXCL11
FOXA1,FABP4,SOX10,GBP5
ESR1,CD36,SERPINB5,CXCL10
NAT1,PLIN1,FOXC1,CXCL13
TFF1,IGF1,PROM1,IGF2BP3
AGR3,CFD,IRX1,MMP12
SCUBE2,C7,KRT14,RARRES1
ERBB4,HBB,DNER,GZMB
CA12,GPX3,BCL11A,GBP1
AR,ITIH5,COL9A3,ADAMDEC1
TFF3,AGTR1,TUBB2B,LAMP3
GATA3,CXCL14,TMSB15A,PSAT1
REEP6,TIMP4,MIA,CD274
KIAA1324,THRSP,VTCN1,CDKN2A
DNAJC12,DARC,SOX6,CDCA7
TOX3,MEOX2,COL2A1,EZH2
SLC7A2,LPL,DSC2,CCL5
SCNN1A,LEP,KRT17,GZMA
GREB1,PDK4,PLEKHB1,TAP2
THSD4,CDO1,TFCP2L1,ASPM
NPNT,PCOLCE2,AIF1L,PSMB9
TBC1D9,DPT,VANGL2,POU2AF1
ABAT,G0S2,ID4,FAM26F
GPR160,AOC3,MAP2,TAP1
ALDH3B2,FHL1,KIT,PBK
INPP4B,SRPX,CDCA7,DLGAP5
GFRA1,CLEC3B,BAMBI,MIR155HG
ANXA9,SDPR,GPM6B,SOD2
GALNT6,FIGF,EN1,BUB1
ABCC11,NTRK2,PRAME,SLAMF7
NQO1,DCLK1,ITGB8,NDC80
SLC39A6,ACVR1C,EPHB3,TTK
SLC16A6,ABI3BP,KCNK5,NUF2
GPRC5A,ENPP2,ST3GAL6,MELK
STARD10,SLC19A3,FOLR1,NLRC5
FAM110C,EFEMP1,NFYA,CD2
CPA3,C6,CTSL2,CTLA4
DACH1,EDNRB,FGFR2,WARS
CYP4B1,EBF1,PRKX,KIF14
VAV3,GPD1,SLC26A2,IFI44L
PRR15,C2orf40,NRTN,CMPK2
KRT18,SORBS1,,AIM2
MUC1,COL14A1,,TDO2
MSX2,GPAM,,XAF1
COL10A1,CLU,,ZBED2
RAB27B,SFRP4,,FOXM1
CYP4Z1,IL33,,SAMD9L
CRIP1,ITM2A,,NCAPG
CLCA2,TMEM100,,ANP32E
TTC39A,AOX1,,EGFL6
PDZK1,SYNPO2,,CCL8
HSPB1,ADAMTS5,,CDCA2
MCCC2,GHR,,APOBEC3G
PGR,AKR1C3,,SMC4
MSMB,PALMD,,MX1
XBP1,MAOA,,MCM10
IQGAP2,CLDN11,,APOBEC3B
SPDEF,STEAP4,,IRF1
SLC9A3R1,ADRA2A,,CDC20
FBP1,GALNTL1,,IFIH1
KCNE4,CIDEC,,CEP55
ZNF703,SLC16A7,,HLA-DQA2
C6orf211,F13A1,,TOP2A
ALCAM,RUNX1T1,,BIRC3
LRRC17,CXCL12,,CCL4
PKIB,CHL1,,CENPA
RAB11FIP1,TGFBR3,,CD8A
LRG1,GALNTL2,,TFEC
FMO5,PCSK5,,LYZ
HMGCS2,RBP4,,LCK
SLC2A10,ACACB,,CARD16
DHCR24,PDGFD,,TRIP13
CEACAM6,PLA2G2A,,RTP4
GALNT7,MME,,PTPRC
ERBB3,LYVE1,,SLAMF8
GDF15,TNMD,,CYTIP
FAM214A,LEPR,,GZMK
CLGN,ANK2,,IFIT3
EFHD1,CD209,,
RHOB,TFPI,,
DEGS2,PTGIS,,
SYTL4,SCN4B,,
WWP1,DCN,,
FAM198B,CLIC5,,
PLAT,AQP1,,
CREB3L4,PLTP,,
PARD6B,PPARG,,
CORIN,MATN2,,
BMPR1B,FLRT2,,
MARVELD2,IGFBP6,,
MREG,PLIN4,,
SEMA3C,CPED1,,
GPR39,LIFR,,
STC2,RBMS3,,
PRLR,PCK1,,
SHROOM3,MRGPRF,,
SLC27A2,FMO2,,
REEP1,MFAP5,,
TRIM36,VWF,,
IRX5,KCNAB1,,
KRT8,TSPAN7,,
SORD,WISP2,,
GPD1L,EMCN,,
FLRT3,FSTL1,,
ACADSB,GNG11,,
KIF5C,AKAP12,,
PNPLA4,GNG2,,
SLC7A8,CCDC80,,
CPEB2,ADRB2,,
NBEA,FOSB,,
MMP11,AADAC,,
C1QTNF3,CXCR7,,
NOVA1,LDB2,,
RABEP1,HCAR3,,
RET,SLIT3,,
ALOX15B,CLDN5,,
SREBF1,ECM2,,
LRBA,IL6ST,,
ERGIC1,H19,,
ACOT4,HAS2,,
RND1,CDKN1C,,
CROT,MAMDC2,,
SLC22A5,SEMA3G,,
ACSS3,GYG2,,
NOSTRIN,NDN,,
FAH,ZEB2,,
TNNT1,DAB2,,
ZBTB42,PTGER3,,
TRIL,PROS1,,
MYB,MT1M,,
IL20RA,PCDH9,,
CNTNAP2,FBN1,,
ENPP1,TWIST2,,
MAGED2,KLB,,
HSPA2,CFH,,
ATP1A4,PTGDS,,
TBC1D30,CAV1,,
MB,LHFP,,
ACOX2,PCDH18,,
FASN,SVEP1,,
CAMK2N1,GPC3,,
SYT1,CD302,,
H2AFJ,ADAMTS15,,
SLC1A2,PDE2A,,
BHLHE40,FMOD,,
CYB5A,GIMAP6,,
TTC8,CAV2,,
ITGB5,SEMA3C,,
GGT1,FZD4,,
RAI2,TGFBR2,,
NRIP1,SOX17,,
BIK,SPRY1,,
TP53TG1,SPARCL1,,
DCXR,SPON1,,
AMACR,IL1R1,,
KCND3,TNS1,,
MAPT,CR1,,
ECM1,GIMAP7,,
NPDC1,HOXA5,,
GSE1,GPR146,,
UGCG,PPAP2A,,
MPC2,ACSL1,,
PVALB,CPE,,
,RASD1,,
,TEK,,
,CES1,,
,LRRC17,,
,PDE7B,,
,NFIA,,
,ANGPTL2,,
,FOS,,
,DDR2,,
,P2RY12,,
,VSIG4,,
,MFAP4,,
,MGLL,,
,DUSP1,,
,DLC1,,
,PTPRB,,
,ZBTB16,,
,PPAP2B,,
,VGLL3,,
,CYBRD1,,
,THBS4,,
,COX7A1,,
,MEDAG,,
,GLDN,,
,RBP7,,
,ADRBK2,,
,CCL19,,
,KLF4,,
,PRKAR2B,,
,GIMAP1,,
,ZNF423,,
,EPAS1,,
,PDGFRA,,
,CLIC2,,
,FMO1,,
,RNASE1,,
,SV2B,,
,SEPP1,,
,QKI,,
,STEAP1,,
,DUSP6,,
,ZEB1,,
,MAF,,
,SERPINF1,,
,CPA3,,
,MS4A4A,,
,IGFBP4,,
,CFI,,
,NOVA1,,
,SLC40A1,,
,S1PR1,,
,NRN1,,
,ABCA1,,
,GPR116,,
,LAMA2,,
,SELP,,
,COLEC12,,
,THRB,,
,KCTD12,,
,FLI1,,
,RSPO3,,
,SMOC2,,
,MMD,,
,LPAR1,,
,TXNIP,,
,FOXP2,,
,EEF1A1,,
,P2RY14,,
,RECK,,
,PLSCR4,,
,PTGER4,,
,FMO3,,
,APOLD1,,
,HGF,,
,MEOX1,,
,ITGA7,,
,PHLDB2,,
,HTR2B,,
,PTN,,
,MAN1A1,,
,CYP2U1,,
,MEF2C,,
,KCND3,,
,FGL2,,
,PIK3R1,,
,THSD7A,,
,EHD2,,
,ANGPT1,,
,CSRNP3,,
,CX3CR1,,
,MAB21L1,,
,MYCT1,,
,CDH5,,
,SOX7,,
,HSDL2,,
,ASPH,,
,MSRB3,,
,ADCYAP1R1,,
,RHOJ,,
,ROBO4,,
,SOCS2,,
,ERG,,
,PECAM1,,
,HAS1,,
,HSD17B11,,
,JAM2,,
,LY96,,
,CDON,,
,EGR3,,
,ALDH1A2,,
,MDFIC,,
,FOLR2,,
,CD93,,
,CST3,,
,RELN,,
,C16orf54,,
,TIE1,,
,SH3BGRL2,,
,FBLN5,,
,HMCN1,,
,MAN1C1,,
,C10orf10,,
,CRTAP,,
,OLFML1,,
,EPB41L3,,
,NNMT,,
,ANTXR2,,
,STXBP6,,
,INMT,,
,NR3C1,,
,OMD,,
,FAM13A,,
,PLA2G16,,
,CPXM1,,
,PTGFR,,
,ZFPM2,,
,LPAR6,,
,CD14,,
,PCOLCE,,
,CFL2,,
,DNASE1L3,,
,SEMA5A,,
,FEZ1,,
,LAMA4,,
,FOXO1,,
,MPEG1,,
,RGS5,,
,HOXA9,,
,MECOM,,
,ADAMTS1,,
,NAP1L5,,
,FERMT2,,
,LOX,,
,DPYD,,
,GLT8D2,,
,FAM198B,,
,CAT,,
,FBLN1,,
,CH25H,,
,MEIS2,,
,IRAK3,,
,EPS8,,
,ST6GALNAC,,
,RNASE4,,
,TNN,,
,PAMR1,,
,ARHGAP20,,
,PROCR,,
,ABCA6,,
,GAS7,,
,SNAI2,,
,NOV,,
,LRRFIP1,,
,SCG2,,
,COL15A1,,
,CFHR1,,
,PARM1,,
,CYGB,,
,GEM,,
,RGL1,,
,PDE3B,,
,STEAP2,,
,SCN3A,,
,PDZD2,,
,PRELP,,
,ABLIM3,,
,ENPEP,,
,C1QA,,
,NOSTRIN,,
,MYH11,,
,GSTM5,,
,SRGN,,
,NAMPT,,
,TMEM140,,
,PDPN,,
,C3,,
,DOCK11,,
,SLC2A3,,
,KIAA0146,,
,HSPA12B,,
,PRRX1,,
,CD28,,
,MN1,,
,DIXDC1,,
,SEC62,,
,RARRES2,,
,TMEM176B,,
,CORO2B,,
,CREBL2,,
,SLIT2,,
,GIMAP2,,
,A2M,,
,LIMA1,,
,MSR1,,
,KLRB1,,
,CPM,,
,SPRY2,,
,ANXA1,,
,PRSS23,,
,LIMCH1,,
,ATP1A2,,
,KLF9,,
,LRRC32,,
,C1QB,,
,CLN5,,
,MFNG,,
,BMPER,,
,TCF4,,
,THBD,,
,SMAD9,,
,CELF2,,
